val,date
36.13439337276783,2022-10-28
30.915229540779624,2022-10-29
57.55876128060745,2022-10-30
14.246730122539798,2022-10-31
27.73144568981637,2022-11-01
60.57839998516312,2022-11-02
53.6939931692553,2022-11-03
44.27736666578936,2022-11-04
65.67466977610768,2022-11-05
75.74388231034543,2022-11-06
21.05982399404722,2022-11-07
56.1656656689913,2022-11-08
7.085769330007796,2022-11-09
63.9023095617674,2022-11-10
37.74124079818692,2022-11-11
18.82521786179352,2022-11-12
93.52789963883338,2022-11-13
1.876637974603212,2022-11-14
39.90353696854503,2022-11-15
25.82132763901268,2022-11-16
22.87893986193594,2022-11-17
35.65755582799317,2022-11-18
12.83964481336196,2022-11-19
29.353021644283544,2022-11-20
64.97897506940504,2022-11-21
19.140018929098247,2022-11-22
35.6456219240709,2022-11-23
34.43255355333953,2022-11-24
13.690972872809471,2022-11-25
