val,date
59.88682579293622,2022-10-28
37.4838048340847,2022-10-29
30.633044009184168,2022-10-30
22.67830768521091,2022-10-31
36.035023345747874,2022-11-01
38.35533418319443,2022-11-02
41.27122084904416,2022-11-03
35.76124924845927,2022-11-04
22.91181857036343,2022-11-05
55.71756430562036,2022-11-06
42.152658102417305,2022-11-07
46.18130748998864,2022-11-08
62.41055978187463,2022-11-09
24.682995075658063,2022-11-10
19.797020758468,2022-11-11
35.264575253061906,2022-11-12
30.19247051851769,2022-11-13
38.74501512087229,2022-11-14
33.6906248960743,2022-11-15
23.83553685712778,2022-11-16
51.723723266408776,2022-11-17
44.89864643902923,2022-11-18
47.00494226780612,2022-11-19
31.41035321937673,2022-11-20
32.96887127208061,2022-11-21
40.77311735210948,2022-11-22
29.65025218877624,2022-11-23
20.36737972747532,2022-11-24
35.96087796145363,2022-11-25
