val,date
96.60245020980751,2022-10-28
42.28402599486364,2022-10-29
128.99576733028792,2022-10-30
31.44986145243524,2022-10-31
120.43487778380604,2022-11-01
112.4901890740029,2022-11-02
58.177409018421045,2022-11-03
140.13193472366356,2022-11-04
189.52036239288043,2022-11-05
68.64347987008587,2022-11-06
187.6779430643836,2022-11-07
152.6049456345428,2022-11-08
76.54648195885193,2022-11-09
412.91185877768,2022-11-10
28.947916966149585,2022-11-11
158.26769607559376,2022-11-12
210.9930285238832,2022-11-13
1.7891911342122169,2022-11-14
125.8713226110381,2022-11-15
86.90698140607205,2022-11-16
30.614040803351664,2022-11-17
59.93153507317814,2022-11-18
21.613408753306224,2022-11-19
20.903122666622743,2022-11-20
68.1062630338347,2022-11-21
103.01128198025188,2022-11-22
51.14317735844517,2022-11-23
37.78707561801972,2022-11-24
37.99370591473497,2022-11-25
