val,date
49.597507972629614,2022-10-28
8.397577564946854,2022-10-29
83.17543336933058,2022-10-30
13.3740342038795,2022-10-31
13.106800294534407,2022-11-01
51.81898556967632,2022-11-02
68.03062799587441,2022-11-03
11.313491265828324,2022-11-04
149.59332195949403,2022-11-05
9.225990467555524,2022-11-06
22.75555933975616,2022-11-07
18.36612757434779,2022-11-08
44.40298812468701,2022-11-09
71.38561119078265,2022-11-10
24.53099122507455,2022-11-11
36.67056749679168,2022-11-12
228.5158949678496,2022-11-13
7.553165838997315,2022-11-14
13.944741981042297,2022-11-15
125.98230363780816,2022-11-16
11.334358483274649,2022-11-17
5.522288747008731,2022-11-18
11.177692971177075,2022-11-19
342.6856507202048,2022-11-20
35.69760561392368,2022-11-21
498.78948526284194,2022-11-22
17.33631723975991,2022-11-23
415.8948938229259,2022-11-24
202.3408450222321,2022-11-25
